ImageNumber,ObjectNumber,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Intensity_MedianIntensity_CDX2,Intensity_MedianIntensity_CK20,Intensity_MedianIntensity_CK7,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_Ki67,Intensity_MedianIntensity_PanCK
1,135,56,1776,983,1768,976,0.29019609093666077,0.0941176488995552,0.0,0.4588235020637512,0.0,0.003921568859368563
1,136,99,1840,987,1831,976,0.37254902720451355,0.2078431397676468,0.0,0.4411764591932297,0.0,0.0
1,137,210,1818,992,1804,977,0.34705886244773865,0.03529411926865578,0.0,0.4470588266849518,0.0,0.003921568859368563
1,138,48,1832,987,1824,981,0.3647059202194214,0.0313725508749485,0.0,0.4156862795352936,0.0,0.0
1,139,88,337,989,329,978,0.4117647111415863,0.05882352590560913,0.0,0.43529412150382996,0.0,0.2803921699523926
1,140,42,1749,988,1743,981,0.427450954914093,0.0313725508749485,0.0,0.34117650985717773,0.0,0.06666667014360428
1,141,36,1823,987,1817,981,0.36274510622024536,0.03333333507180214,0.0,0.42941175401210785,0.0,0.003921568859368563
1,142,64,1856,997,1848,989,0.36078429222106934,0.027450978755950928,0.0,0.45490196347236633,0.30980393290519714,0.0
1,143,36,498,1005,492,999,0.43529412150382996,0.029411764815449715,0.0,0.4313725382089615,0.38235294818878174,0.0
1,144,30,1410,1006,1404,1001,0.39411765336990356,0.0313725508749485,0.0,0.36666668951511383,0.0,0.0
1,145,64,357,1016,349,1008,0.43921568989753723,0.0313725508749485,0.05686274170875549,0.5078431665897369,0.0,0.24705883860588074
1,146,56,1735,1023,1727,1016,0.45490196347236633,0.0,0.0,0.36078429222106934,0.0,0.0
1,147,25,1607,1032,1602,1027,0.5372549295425415,0.003921568859368563,0.0,0.38823530077934265,0.0,0.003921568859368563
1,148,64,1908,1044,1900,1036,0.40392157435417175,0.23529410362243652,0.0,0.3960784375667572,0.0,0.3176470398902893
1,149,56,1651,1042,1644,1034,0.3686274588108063,0.027450978755950928,0.0,0.3843137323856354,0.0470588244497776,0.0
1,150,80,1681,1043,1671,1035,0.427450954914093,0.0313725508749485,0.0,0.3803921639919281,0.0,0.0313725508749485
1,151,36,348,1050,342,1044,0.42352940142154694,0.047058822587132454,0.0,0.4019607901573181,0.003921568859368563,0.0313725508749485
1,152,30,1631,1058,1625,1053,0.37254902720451355,0.2705882489681244,0.0,0.38823530077934265,0.027450978755950928,0.06666667014360428
1,153,63,1683,1059,1674,1052,0.4588235020637512,0.027450978755950928,0.0,0.3960784375667572,0.0,0.05882352590560913
1,154,63,1632,1064,1623,1057,0.41372549533843994,0.03333333507180214,0.0,0.39803922176361084,0.0,0.0
1,155,110,1695,1069,1684,1059,0.4000000059604645,0.0,0.0,0.3686274588108063,0.0,0.23137253522872925
1,156,36,1760,1069,1754,1063,0.3058823347091675,0.22745098173618317,0.0,0.3921568691730499,0.0,0.08235295116901398
1,157,70,1629,1070,1619,1063,0.47843137383461,0.003921568859368563,0.0,0.4627450704574585,0.0,0.0
1,158,42,1678,1078,1672,1071,0.386274516582489,0.0,0.0,0.354901984333992,0.0,0.3176470398902893
1,159,42,492,1083,486,1076,0.47058820724487305,0.13333332911133766,0.05882352963089943,0.3901960849761963,0.1509803868830204,0.0
1,160,132,630,1085,619,1073,0.43529412150382996,0.003921568859368563,0.0313725508749485,0.4117647111415863,0.0,0.0
1,161,135,1529,1087,1520,1072,0.42941175401210785,0.0019607844296842813,0.0,0.35098040103912354,0.0,0.0
1,162,110,1574,1091,1563,1081,0.250980406999588,0.0941176488995552,0.0,0.35686275362968445,0.0,0.3803921639919281
1,163,42,1049,1095,1043,1088,0.41960784792900085,0.23529410362243652,0.3803921639919281,0.4470588266849518,0.32156863808631897,0.0
